"TIME","TYPE","AMOUNT","CATEGORY","ACCOUNT","NOTES" 
"Sep 06, 2024 1:47 PM","(-) Expense","4000.00","Food","Cash","Gorengan " 
"Sep 06, 2024 1:47 PM","(-) Expense","5000.00","Food","Cash","Semangka" 
"Sep 06, 2024 1:48 PM","(-) Expense","10000.00","Food","Cash","Pecel" 
"Sep 06, 2024 7:56 PM","(-) Expense","6000.00","Food","Cash","Gorengan " 
"Sep 06, 2024 8:07 PM","(-) Expense","20000.00","Food","Card","" 
"Sep 07, 2024 8:33 AM","(-) Expense","7000.00","Food","Cash","Galon" 
"Sep 07, 2024 8:44 AM","(-) Expense","5000.00","Food","Cash","piscok" 
"Sep 07, 2024 8:44 AM","(-) Expense","4000.00","Food","Cash","es teh" 
"Sep 07, 2024 8:45 AM","(-) Expense","11000.00","Food","Cash","ayam" 
"Sep 08, 2024 9:48 AM","(-) Expense","5000.00","Food","Cash","Semangka " 
"Sep 08, 2024 10:25 AM","(-) Expense","4000.00","Food","Cash","Coca cola" 
"Sep 08, 2024 11:52 AM","(-) Expense","3000000.00","wedding","Card","seragam nikah" 
"Sep 08, 2024 7:19 PM","(-) Expense","2000000.00","wedding","Card","dp kantri resto " 
"Sep 08, 2024 7:21 PM","(-) Expense","2000000.00","wedding","Card","seragam nikah cewek" 
"Sep 09, 2024 12:04 AM","(-) Expense","9000.00","Food","Cash","jajan" 
"Sep 09, 2024 10:45 AM","(-) Expense","20000.00","Food","Cash","kentucky" 
"Sep 09, 2024 7:38 PM","(-) Expense","11000.00","Food","Cash","Gorengan " 
"Sep 09, 2024 7:38 PM","(-) Expense","27000.00","Food","Cash","Jajan Alfamart" 
"Sep 09, 2024 7:39 PM","(-) Expense","28000.00","Food","Cash","telur 1 kg" 
"Sep 10, 2024 11:05 AM","(-) Expense","12000.00","Food","Cash","pisang" 
"Sep 10, 2024 11:05 AM","(-) Expense","39000.00","Food","Cash","Belanja Pasar" 
"Sep 10, 2024 4:31 PM","(-) Expense","165000.00","Sport","Card","Dumbbell" 
"Sep 11, 2024 6:16 PM","(-) Expense","5000.00","Food","Cash","semangka " 
"Sep 11, 2024 6:16 PM","(-) Expense","10000.00","Food","Cash","siomay " 
"Sep 13, 2024 7:57 PM","(-) Expense","17000.00","Food","Card","pecel lele" 
"Sep 13, 2024 7:57 PM","(-) Expense","67000.00","Food","Card","madu" 
"Sep 13, 2024 7:58 PM","(-) Expense","21000.00","Food","Card","minyak Alfamart " 
"Sep 17, 2024 11:18 PM","(-) Expense","10000.00","Food","Cash","bakpao" 
"Sep 17, 2024 11:18 PM","(-) Expense","10000.00","Food","Cash","cilok" 
"Sep 17, 2024 11:19 PM","(-) Expense","14000.00","wedding","Cash","Ngurus Nikah foto copy" 
"Sep 18, 2024 6:12 PM","(-) Expense","55000.00","Food","Cash","alfamart, sambel, kopi, saos" 
"Sep 19, 2024 10:44 AM","(-) Expense","26000.00","Food","Cash","makan warsun" 
"Sep 19, 2024 10:47 PM","(-) Expense","26000.00","Home","Cash","rak sepatu" 
"Sep 20, 2024 11:28 AM","(-) Expense","5000.00","Food","Cash","semangka" 
"Sep 20, 2024 8:06 PM","(-) Expense","15000.00","Food","Cash","makan siang" 
"Sep 20, 2024 8:07 PM","(-) Expense","20000.00","Food","Cash","makan malem " 
"Sep 22, 2024 8:46 PM","(-) Expense","60000.00","Food","Cash","belanja pasar" 
"Sep 22, 2024 8:46 PM","(-) Expense","8000.00","Food","Cash","es krim roti" 
"Sep 22, 2024 8:47 PM","(-) Expense","12000.00","Food","Cash","mie ayam" 
"Sep 23, 2024 11:12 AM","(-) Expense","20000.00","Food","Cash","nasi padang" 
"Sep 24, 2024 11:12 AM","(-) Expense","20000.00","Food","Cash","ayam kfc" 
"Sep 24, 2024 6:20 PM","(-) Expense","6000.00","Food","Cash","gorengan" 
"Sep 24, 2024 6:46 PM","(-) Expense","10000.00","Food","Cash","cireng" 
"Sep 24, 2024 9:51 PM","(-) Expense","15000.00","Food","Cash","roti" 
"Sep 25, 2024 10:09 PM","(-) Expense","216000.00","Electronics","Card","kipas angin" 
"Sep 25, 2024 10:09 PM","(-) Expense","40000.00","Shopping","Card","topi" 
"Sep 25, 2024 10:10 PM","(-) Expense","40000.00","Shopping","Card","rak" 
"Sep 26, 2024 6:52 AM","(-) Expense","27500.00","Food","Card","alfamart, mie, sama minum" 
"Sep 26, 2024 10:45 AM","(-) Expense","30000.00","Clothing","Card","celana dalam" 
"Sep 26, 2024 10:45 AM","(-) Expense","5000.00","Food","Cash","tahu siksa" 
"Sep 27, 2024 7:04 AM","(-) Expense","16000.00","Food","Cash","nasi uduk" 
"Sep 28, 2024 7:05 AM","(-) Expense","7000.00","Food","Cash","roti" 
"Sep 29, 2024 4:12 PM","(-) Expense","54000.00","Food","Cash","belanja pasar" 
"Sep 29, 2024 4:13 PM","(-) Expense","18000.00","Food","Cash","rendang " 
"Sep 29, 2024 9:38 PM","(-) Expense","39000.00","Food","Cash","jajan alfamart" 
"Sep 30, 2024 8:58 AM","(-) Expense","2000.00","Food","Cash","gorengan" 
"Oct 01, 2024 8:58 AM","(-) Expense","17000.00","Food","Card","minyak goreng" 
"Oct 01, 2024 10:45 AM","(-) Expense","11812500.00","wedding","Card","cicilan wo" 
"Oct 01, 2024 11:03 AM","(-) Expense","13000.00","Food","Cash","warteg" 
"Oct 01, 2024 6:57 PM","(-) Expense","43800.00","Food","Card","jajan alfamart" 
"Oct 02, 2024 10:43 AM","(-) Expense","15000.00","Food","Cash","beli ayam goreng" 
"Oct 02, 2024 10:44 AM","(-) Expense","7000.00","Food","Cash","beli kerang sama gorengan " 
"Oct 03, 2024 7:21 PM","(-) Expense","5000.00","Food","Card","es teh" 
"Oct 03, 2024 7:21 PM","(-) Expense","5000.00","Food","Cash","gorengan" 
"Oct 03, 2024 7:21 PM","(-) Expense","19000.00","Food","Cash","nasi uduk" 
"Oct 04, 2024 8:24 AM","(-) Expense","50000.00","Food","Cash","Potluck" 
"Oct 04, 2024 8:24 AM","(-) Expense","32500.00","Food","Card","gula, kopi" 
"Oct 06, 2024 7:50 AM","(-) Expense","70000.00","Food","Cash","belanja pasar" 
"Oct 06, 2024 7:50 AM","(-) Expense","20000.00","Food","Cash","ayam kfc" 
"Oct 06, 2024 3:01 PM","(-) Expense","190000.00","Food","Cash","solaria" 
"Oct 06, 2024 3:02 PM","(-) Expense","25000.00","Food","Cash","roti o" 
"Oct 07, 2024 7:37 PM","(-) Expense","18000.00","Food","Card","naspad" 
"Oct 08, 2024 11:58 AM","(-) Expense","125000.00","Electronics","Card","tws baru" 
"Oct 08, 2024 5:20 PM","(-) Expense","29000.00","Food","Card","Es jeruk & bakso malang" 
"Oct 09, 2024 9:03 AM","(-) Expense","850000.00","Bills","Card","kos" 
"Oct 10, 2024 10:56 AM","(-) Expense","20000.00","Food","Cash","jajan" 
"Oct 12, 2024 3:48 PM","(-) Expense","183000.00","Home","Card","wajan, spatula" 
"Oct 12, 2024 11:13 PM","(-) Expense","19000.00","Food","Cash","jajan malem" 
"Oct 15, 2024 2:21 PM","(-) Expense","15000.00","Food","Card","naspad" 
"Oct 15, 2024 2:22 PM","(-) Expense","2000.00","Food","Cash","pisgor" 
"Oct 15, 2024 2:22 PM","(-) Expense","5000.00","Food","Cash","coca cola" 
"Oct 15, 2024 2:22 PM","(-) Expense","7000.00","Food","Cash","galon " 
"Oct 16, 2024 6:39 PM","(-) Expense","48000.00","Food","Cash","belanja pasar" 
"Oct 16, 2024 6:40 PM","(-) Expense","15000.00","Food","Cash","pepaya" 
"Oct 16, 2024 6:40 PM","(-) Expense","6000.00","Food","Cash","martabak" 
"Oct 17, 2024 6:20 PM","(-) Expense","8000.00","Food","Cash","jajan" 
"Oct 17, 2024 6:21 PM","(-) Expense","96000.00","donate","Card","bantu bule nyasar gojek" 
"Oct 18, 2024 6:35 PM","(-) Expense","7000.00","Food","Cash","jajan" 
"Oct 19, 2024 1:46 PM","(-) Expense","8500.00","Food","Cash","happy tos" 
"Oct 19, 2024 8:43 PM","(-) Expense","30000.00","Transportation","Card","grab" 
"Oct 20, 2024 11:00 PM","(-) Expense","63000.00","Entertainment","Card","vidio" 
"Oct 21, 2024 11:53 AM","(-) Expense","430000.00","Transportation","Card","tiket kereta malang" 
"Oct 21, 2024 6:30 PM","(-) Expense","330000.00","Transportation","Card","tiket kereta malang jakarta" 
"Oct 22, 2024 10:24 AM","(-) Expense","60000.00","Food","Cash","belanja pasar" 
"Oct 22, 2024 10:25 AM","(-) Expense","8000.00","Food","Cash","mangga " 
"Oct 22, 2024 10:25 AM","(-) Expense","10000.00","Food","Cash","pisang" 
"Oct 22, 2024 10:25 AM","(-) Expense","11000.00","Food","Cash","ayam Kentucky " 
"Oct 22, 2024 10:26 AM","(-) Expense","5000.00","Food","Cash","makroni" 
"Oct 22, 2024 10:28 AM","(-) Expense","14000.00","Food","Card","kopi" 
"Oct 23, 2024 7:06 AM","(-) Expense","22500.00","Beauty","Card","parfum" 
"Oct 23, 2024 7:36 PM","(-) Expense","200000.00","Other","Card","ganti rugi orang goblok" 
"Oct 27, 2024 9:48 AM","(-) Expense","10000.00","Food","Cash","jajan cfd" 
"Oct 27, 2024 9:48 AM","(-) Expense","350000.00","Transportation","Card","tiket kereta" 
"Oct 28, 2024 11:31 AM","(-) Expense","45000.00","Clothing","Card","kaos kaki" 
"Oct 28, 2024 11:31 AM","(-) Expense","2000.00","Food","Cash","jajan" 
"Oct 28, 2024 12:00 PM","(-) Expense","75000.00","Education","Card","e book atomic habits" 
"Oct 28, 2024 10:13 PM","(-) Expense","20000.00","Food","Cash","warteg" 
"Oct 28, 2024 10:13 PM","(-) Expense","5000.00","Food","Cash","sprite" 
"Oct 29, 2024 5:54 PM","(-) Expense","21000.00","Food","Cash","tahu dan roti" 
"Oct 30, 2024 10:02 PM","(-) Expense","38000.00","Food","Card","mie instan" 
"Oct 30, 2024 10:02 PM","(-) Expense","6000.00","Food","Cash","gorengan" 
"Oct 30, 2024 10:08 PM","(-) Expense","15000.00","Food","Card","nasi ayam sayur" 
"Oct 31, 2024 8:38 AM","(-) Expense","20000.00","Food","Cash","bebek" 
